name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Andrea Arnaboldi,2026-04-25,1579.7792836247934,1579.7792836247934,1490.2865243585404,1500.0,1500.0,0.3965014577259475,0.5,0.4545454545454545,0.45814436257342883,0.4673072498248974,0.4673072498248974,-1.0,30.0,2.0,True
Botic van de Zandschulp,2026-04-16,1577.878829939349,1577.878829939349,1500.0,1508.5743257666602,1535.6168622210948,0.5,0.5,0.5430658356378373,0.5195330593693582,0.5060720696677349,0.5269267797333334,-1.0,15.990540366000008,3.101167965592929,True
Nuno Borges,2026-04-17,1576.7866639215122,1612.727460638524,1547.8086860477645,1472.1401667658438,1505.6747446540985,0.5032440548780487,0.3684210526315789,0.38834375,0.4450248731174279,0.45859428859904,0.42431488,-1.0,10.83118509897959,4.374451609699444,True
Pablo Carreno Busta,2026-02-16,1574.7935964992914,1689.7557559525455,1586.0099750808122,1492.6102491063953,1575.045063111281,0.6226415094339622,0.45,0.4979797979797979,0.556578947368421,0.352,0.16,-2.0,9.55492957746479,1.709945476786244,True
Blake Mott,2026-04-26,1574.127366879052,1574.127366879052,1541.81314508306,1500.0,1500.0,0.6263607954545454,0.5,0.4545454545454545,0.5326779088988555,0.5139850252548097,0.5139850252548097,2.0,30.0,3.0,True
Roberto Bautista Agut,2026-04-05,1573.3778820165264,1684.9130424356824,1518.1835596203216,1567.283712569061,1550.4119272613316,0.4327272727272727,0.5952380952380952,0.426087462933394,0.4574326951454741,0.36922924138496,0.25186304,-2.0,9.04105191029412,3.235822557126088,True
Andrea Pellegrino,2026-04-25,1573.02019983001,1573.02019983001,1501.2002123060065,1500.0,1500.0,0.4550505050505049,0.5,0.5,0.4832786120275265,0.492944184268077,0.492944184268077,-1.0,30.0,2.0,True
Lorenzo Sonego,2026-04-16,1569.780857752659,1615.8189125324732,1518.2757754593886,1540.470612223088,1515.348896130516,0.4987847222222221,0.5454545454545454,0.4609929078014184,0.4888793248945147,0.4928,0.288,-1.0,11.116563876651982,2.0402942886002937,True
Borna Gojo,2026-04-26,1566.9041745530299,1572.4972384855214,1542.8677713971174,1490.1349022176803,1537.940986222378,0.6509001736810065,0.4166666666666667,0.5348837209302325,0.5465575029835227,0.5284198031028636,0.5284198031028636,2.0,21.473684210526315,3.0,True
Rinky Hijikata,2026-03-10,1566.8073027149685,1566.8073027149685,1475.3405949440844,1505.3567476553085,1537.6408015909478,0.375,0.5,0.5652693181818181,0.5039973340259739,0.520182784,0.4723200000000001,-1.0,12.403335820895524,3.842032094865981,True
