player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
jenson brooksby,Jenson Brooksby,1602.6855204785807,1663.4313415304105,0.5777777777777777,0.4117647058823529,0.5416666666666666,0.6086956521739131,0.6,0.4,-1,8.2625,,80,47,2025-08-15,0.5875
jakub mensik,Jakub Mensik,1602.6657513487696,1660.0874120217622,0.5606060606060606,0.55,0.47368421052631576,0.574468085106383,0.4,0.4,-1,9.857142857142858,,56,32,2025-08-15,0.5714285714285714
marin cilic,Marin Cilic,1600.0835636672994,1701.1099020446873,0.5704225352112676,0.5277777777777778,0.6896551724137931,0.5360824742268041,0.4,0.6,-1,8.068181818181818,,132,76,2025-07-07,0.5757575757575758
emil ruusuvuori,Emil Ruusuvuori,1597.9756713723336,1660.5271694313162,0.5276381909547738,0.41304347826086957,0.48484848484848486,0.5673758865248227,0.5,0.6,1,6.98941798941799,87.0,190,100,2024-07-29,0.5263157894736842
thanasi kokkinakis,Thanasi Kokkinakis,1594.8736234622552,1603.2284796949239,0.48214285714285715,0.46153846153846156,0.5,0.4891304347826087,0.5,0.6,-1,11.970588235294118,77.0,102,49,2024-11-23,0.4803921568627451
marcos giron,Marcos Giron,1593.5426002324127,1607.3444337476567,0.47342995169082125,0.40816326530612246,0.5238095238095238,0.4852941176470588,0.6,0.4,-1,7.314720812182741,,197,93,2025-07-03,0.4720812182741117
denis shapovalov,Denis Shapovalov,1593.413396603933,1658.4241214419085,0.5396039603960396,0.5,0.55,0.5447761194029851,0.5,0.2,-4,7.244791666666667,,192,104,2025-08-13,0.5416666666666666
matteo arnaldi,Matteo Arnaldi,1592.0149544837514,1656.6869753781032,0.5142857142857142,0.5348837209302325,0.4,0.5223880597014925,0.3,0.2,-1,8.936842105263159,,95,49,2025-07-31,0.5157894736842106
pablo carreno busta,Pablo Carreno Busta,1591.551151286654,1689.77106103551,0.5933333333333334,0.6226415094339622,0.45,0.5876288659793815,0.5,0.2,-3,7.2785714285714285,203.0,140,84,2025-07-29,0.6
david goffin,David Goffin,1589.6627922098758,1612.1383192808207,0.48344370860927155,0.5192307692307693,0.4583333333333333,0.47368421052631576,0.6,0.4,-2,9.361702127659575,54.0,141,68,2025-07-01,0.48226950354609927
giovanni mpetshi perricard,Giovanni Mpetshi Perricard,1588.9827175427588,1609.951032793134,0.5217391304347826,0.5882352941176471,0.47368421052631576,0.5,0.6,0.4,-3,11.472222222222221,,36,19,2025-07-29,0.5277777777777778
nicolas jarry,Nicolas Jarry,1586.5633584027873,1682.213178864364,0.5373134328358209,0.5735294117647058,0.5454545454545454,0.484375,0.5,0.6,-1,9.040322580645162,,124,67,2025-07-07,0.5403225806451613
alejandro davidovich fokina,Alejandro Davidovich Fokina,1586.5155918793228,1660.7676508082652,0.5046728971962616,0.56,0.4642857142857143,0.48091603053435117,0.5,0.4,-2,7.127450980392157,,204,103,2025-08-13,0.5049019607843137
alejandro tabilo,Alejandro Tabilo,1584.3099579256248,1670.1097374951273,0.5172413793103449,0.5370370370370371,0.5416666666666666,0.4745762711864407,0.4,0.6,1,9.735849056603774,21.0,107,55,2024-10-28,0.514018691588785
joao fonseca,Joao Fonseca,1583.5840169854405,1599.2166424614966,0.5714285714285714,0.47619047619047616,0.5,0.65,0.8,0.6,-1,17.48,,25,15,2025-08-15,0.6
lorenzo sonego,Lorenzo Sonego,1580.6141816700656,1615.7687117716118,0.49361702127659574,0.5138888888888888,0.5454545454545454,0.4676258992805755,0.6,0.4,-1,6.697777777777778,,225,111,2025-08-15,0.49333333333333335
arthur rinderknech,Arthur Rinderknech,1578.9845797551636,1588.548432612074,0.47953216374269003,0.48,0.4375,0.4954128440366973,0.6,0.6,-1,8.93167701863354,,161,77,2025-08-15,0.4782608695652174
juncheng shang,Juncheng Shang,1576.6958465673672,1643.3289785243644,0.4857142857142857,0.375,0.5333333333333333,0.4918032786885246,0.4,0.0,-5,13.05,50.0,62,29,2024-12-18,0.46774193548387094
marcelo arevalo,Marcelo Arevalo,1576.1695625362297,1576.1695625362297,0.6842105263157895,0.5384615384615384,0.5,0.6,0.8888888888888888,1.0,8,36.666666666666664,,10,8,2024-09-14,0.8
milos raonic,Milos Raonic,1576.0027352975958,1596.489612809744,0.5348837209302325,0.45454545454545453,0.5263157894736842,0.5454545454545454,0.5,0.4,-2,16.606060606060606,186.0,33,18,2024-07-29,0.5454545454545454
hamad medjedovic,Hamad Medjedovic,1575.9947470658694,1589.3362178534703,0.5192307692307693,0.42857142857142855,0.42857142857142855,0.6333333333333333,0.5,0.4,-1,20.11904761904762,,42,22,2025-08-15,0.5238095238095238
alex molcan,Alex Molcan,1573.3366097426908,1622.6058164226083,0.5238095238095238,0.6101694915254238,0.47058823529411764,0.42857142857142855,0.5,0.6,-1,10.821052631578947,122.0,95,50,2024-02-26,0.5263157894736842
aleksandar vukic,Aleksandar Vukic,1572.330371475808,1581.4387267410223,0.4528301886792453,0.4090909090909091,0.5333333333333333,0.44594594594594594,0.6,0.4,-1,11.020833333333334,,96,43,2025-07-31,0.4479166666666667
yoshihito nishioka,Yoshihito Nishioka,1571.1476320005193,1619.5023696221783,0.4625,0.4878048780487805,0.4090909090909091,0.4700854700854701,0.4,0.2,-3,9.32,60.0,150,69,2025-07-01,0.46
marton fucsovics,Marton Fucsovics,1570.980523154201,1643.5847864414793,0.48554913294797686,0.48936170212765956,0.5588235294117647,0.4642857142857143,0.4,0.4,-1,8.803680981595091,,163,79,2025-07-05,0.48466257668711654
nuno borges,Nuno Borges,1570.6062459670097,1586.4897205281825,0.4519230769230769,0.5121951219512195,0.3684210526315789,0.453125,0.4,0.6,-1,11.202127659574469,,94,42,2025-07-31,0.44680851063829785
yannick hanfmann,Yannick Hanfmann,1568.4694545585644,1612.2237598957665,0.4806201550387597,0.5443037974683544,0.44,0.4166666666666667,0.7,0.8,3,9.428571428571429,96.0,122,59,2024-09-18,0.48360655737704916
miomir kecmanovic,Miomir Kecmanovic,1567.8666011026628,1623.8414527149612,0.4826086956521739,0.5066666666666667,0.45714285714285713,0.4785714285714286,0.4,0.4,-2,6.881818181818182,,220,106,2025-07-29,0.4818181818181818
tomas martin etcheverry,Tomas Martin Etcheverry,1564.4889769513074,1622.3161055563771,0.47019867549668876,0.5421686746987951,0.3684210526315789,0.42028985507246375,0.3,0.2,-2,8.453900709219859,,141,66,2025-08-13,0.46808510638297873
darian king,Darian King,1558.8813970160315,1567.2147480912367,0.65,0.5,0.5,0.631578947368421,0.8,0.6,1,33.0,547.0,11,9,2024-09-14,0.8181818181818182
michael mmoh,Michael Mmoh,1558.0443313917624,1566.0897017615775,0.48,0.4444444444444444,0.5,0.5,0.6,0.4,1,15.95,122.0,42,20,2024-04-01,0.47619047619047616
