player,last_date,current_elo,peak_elo,win_rate_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,avg_rest_days,matches_28d,streak,n_matches
Alexei Popyrin,2025-07-01,1651.1727096090158,1680.0433197365555,0.4827586206896552,0.4897959183673469,0.35714285714285715,0.5128205128205128,8.664634146341463,1,-2,164
Felix Auger Aliassime,2025-07-03,1650.6862552393386,1806.5747957692374,0.6091954022988506,0.5652173913043478,0.5555555555555556,0.625,5.7370517928286855,2,-1,251
Cameron Norrie,2025-07-09,1639.7485172277984,1778.0016123215908,0.620817843866171,0.6511627906976745,0.6190476190476191,0.5900621118012422,5.652509652509653,5,-1,259
Tallon Griekspoor,2025-07-01,1633.4763198459182,1684.5129372821973,0.5105263157894737,0.46,0.5675675675675675,0.5121951219512195,7.8,1,-2,180
Francisco Cerundolo,2025-07-01,1629.030332504913,1693.3479122529504,0.5326633165829145,0.5925925925925926,0.46153846153846156,0.47058823529411764,7.137566137566138,1,-1,189
Denis Shapovalov,2025-07-01,1626.8245205364299,1658.4241214419085,0.545,0.5,0.55,0.553030303030303,7.094736842105263,1,-2,190
Jakub Mensik,2025-07-05,1618.9895355989065,1660.0874120217622,0.5645161290322581,0.55,0.47368421052631576,0.5813953488372093,9.826923076923077,3,-1,52
Brandon Nakashima,2025-07-05,1615.512574350975,1678.0269742318353,0.5434782608695652,0.48484848484848486,0.5384615384615384,0.553030303030303,7.350574712643678,3,-1,174
Roberto Bautista Agut,2025-07-01,1605.0393249434437,1685.0614145227182,0.5545023696682464,0.509090909090909,0.5952380952380952,0.5522388059701493,7.099502487562189,1,-3,201
Kei Nishikori,2024-10-21,1602.7812612345022,1626.8499378445752,0.56,0.56,0.4666666666666667,0.5636363636363636,9.246153846153845,6,-2,65
Pablo Carreno Busta,2024-10-02,1601.0912566327368,1689.77106103551,0.5973154362416108,0.6226415094339622,0.45,0.59375,6.899280575539568,3,-2,139
Jenson Brooksby,2025-07-03,1600.3196577548015,1663.4313415304105,0.5795454545454546,0.4117647058823529,0.5416666666666666,0.6119402985074627,7.923076923076923,2,-1,78
Marin Cilic,2025-07-07,1600.0835636672994,1701.1099020446873,0.5704225352112676,0.5277777777777778,0.6896551724137931,0.5360824742268041,8.068181818181818,4,-1,132
Alex Michelsen,2025-07-01,1599.946568455939,1629.0424467518021,0.5111111111111111,0.42105263157894735,0.5185185185185185,0.53125,7.5,1,-2,80
Emil Ruusuvuori,2024-07-29,1597.9756713723336,1660.5271694313162,0.5276381909547738,0.41304347826086957,0.48484848484848486,0.5673758865248227,6.98941798941799,4,1,190
Giovanni Mpetshi Perricard,2025-07-01,1596.327526402116,1609.951032793134,0.5333333333333333,0.5882352941176471,0.47368421052631576,0.5172413793103449,11.0,1,-2,35
Thanasi Kokkinakis,2024-11-23,1594.8736234622552,1603.2284796949239,0.48214285714285715,0.46153846153846156,0.5,0.4891304347826087,11.970588235294118,2,-1,102
Marcos Giron,2025-07-03,1593.5426002324127,1607.3444337476567,0.47342995169082125,0.40816326530612246,0.5238095238095238,0.4852941176470588,7.314720812182741,2,-1,197
David Goffin,2025-07-01,1589.6627922098758,1612.1383192808207,0.48344370860927155,0.5192307692307693,0.4583333333333333,0.47368421052631576,9.361702127659575,1,-2,141
Matteo Arnaldi,2025-07-01,1588.148030074577,1656.6869753781032,0.5145631067961165,0.5348837209302325,0.4,0.5230769230769231,8.806451612903226,1,-4,93
