player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Viacheslav Bielinskyi,3,1,2,50.0,0,0.6666666666666666,0.6666666666666666,-1,0.3333,1500.4755551633655,1500.4755551633655,,,0.0,1.0
Ergi Kirkin,3,2,1,50.0,0,0.6666666666666666,0.6666666666666666,1,0.6667,1500.414300586377,1500.414300586377,,,0.5,1.0
Riccardo Bonadio,3,1,2,21.666666666666668,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1511.2600721998929,1500.3321361434857,0.3333,,,
Manuel Guinard,10,4,6,19.2,0,0.4444444444444444,0.4,-1,0.4,1509.1038486606008,1500.2898555444692,0.4,,0.4,
Nicolas Barrientos,3,1,2,45.666666666666664,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.0167504999954,1500.0167504999954,0.5,,0.0,
Genaro Alberto Olivieri,3,2,1,10.0,2,0.0,0.0,-1,0.6667,1524.2770803914475,1500.0,0.6667,,,
Nishesh Basavareddy,3,1,2,10.0,2,0.0,0.0,-1,0.3333,1501.7252832036204,1500.0,,,0.3333,
Alexander Erler,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1514.2231270453924,1500.0,0.5,,,
Andrew Harris,2,1,1,15.0,1,1.0,1.0,0,0.5,1512.0,1500.0,,,0.5,
Bernard Tomic,2,1,1,15.0,1,0.6666666666666666,0.6666666666666666,0,0.5,1511.9856905714691,1500.0,,,0.5,
Clement Mainguy,2,0,2,15.0,1,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,,0.0
Colin Sinclair,2,1,1,15.0,1,0.6666666666666666,0.6666666666666666,0,0.5,1511.1733679181373,1500.0,,,,0.5
Daniil Ostapenkov,2,1,1,15.0,1,1.0,1.0,0,0.5,1515.0379685656108,1500.0,0.5,,,
David Agung Susanto,2,0,2,15.0,1,1.0,1.0,-1,0.0,1500.0,1500.0,,0.0,,
Jacopo Berrettini,2,1,1,15.0,1,0.0,0.0,0,0.5,1510.9156454484867,1500.0,,,0.5,
Juan Pablo Ficovich,2,1,1,15.0,1,0.6666666666666666,0.6666666666666666,0,0.5,1511.4041887078224,1500.0,0.5,,,
Justin Engel,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1512.6268567994523,1500.0,,,0.5,
Komlavi Loglo,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1500.0,,,0.5,
Mousa Alkotop,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1500.0,,,,0.5
Olaf Pieczkowski,2,2,0,15.0,1,0.0,0.0,2,1.0,1512.0,1500.0,,,1.0,
Oliver Ojakaar,2,2,0,15.0,1,0.6666666666666666,0.6666666666666666,2,1.0,1512.0,1500.0,1.0,,,
Peter Bertran,2,1,1,15.0,1,1.0,1.0,0,0.5,1500.0,1500.0,,,0.5,
Sina Moghimi,2,1,1,15.0,1,0.0,0.0,0,0.5,1510.736619052666,1500.0,0.5,,,
Tristan Lamasine,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1500.0,,,0.5,
Adam Neff,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Adolfo Daniel Vallejo,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,0.0,,,
Ainius Sabaliauskas,1,1,0,30.0,0,0.6666666666666666,0.6666666666666666,1,1.0,1500.0,1500.0,,,1.0,
Alejandro Gonzalez,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Alex Rybakov,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Alexander Sarkissian,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
