name,N_fav,O_upsets,E_exp,V_var,z,z_sigmoid,eb_rate,volatility,neg_trend,fatigue,surface_mismatch,USI
Elmer Moller,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.0,42.5
Bu Yunchaokete,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9902783206739546,0.0,0.0,0.0,42.3
Ugo Blanchet,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.979039448899298,0.0,0.0,0.006993006993007034,42.2
Zsombor Piros,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.963892100611561,0.0,0.0,0.03535353535353536,42.1
Lloyd Harris,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9759140185314223,0.0,0.0,0.0,42.0
Mattia Bellucci,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9753856074925942,0.0,0.0,0.0,42.0
Alexander Bublik,15,6,5.565769727861202,3.4957715357231813,0.2322461781094172,0.5578019662029683,0.3258373483485226,0.8395425525984679,0.0,0.0,0.002671267182369541,41.9
Damir Dzumhur,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8639034457508313,0.0,0.16666666666666666,0.03612479474548436,41.8
Gabriel Diallo,3,1,1.135042561663661,0.7055006024901238,-0.16077627899629393,0.45989228844595675,0.27844813879123015,0.8868477684529775,0.0,0.3333333333333333,0.0,41.8
Alexander Shevchenko,5,2,1.9063291837014082,1.1787339756764483,0.08627727187082616,0.5215559481705233,0.29617228768793175,0.9118838047601987,0.0,0.0,0.0,41.7
Pedro Martinez,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8551098117170035,0.0,0.16666666666666666,0.04615082482325217,41.7
Sebastian Baez,41,14,13.9672585652946,9.160759016500707,0.010817626353320816,0.5027043802159329,0.3181033965934147,0.7772302308915514,0.0,0.16666666666666666,0.16928446771378708,41.5
Pablo Llamas Ruiz,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9494785754846597,0.0,0.0,0.0,41.5
Flavio Cobolli,8,3,2.971526804199933,1.8636742495101157,0.020856969801139692,0.5052140534364874,0.30015382829279613,0.847530961510986,0.0,0.16666666666666666,0.0,41.4
Quentin Halys,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9101475551033759,0.0,0.0,0.05611672278338942,41.3
Camilo Ugo Carabelli,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8569863038911356,0.0,0.16666666666666666,0.0,41.3
Emilio Nava,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8530541775952651,0.0,0.16666666666666666,0.0,41.2
Tomas Martin Etcheverry,9,1,3.3853404968486642,2.1095670685301036,-1.6423046131303962,0.16215171737541806,0.22083817904132044,0.9220629182127051,0.872556838129143,0.16666666666666666,0.04990882042422501,41.0
Alexandre Muller,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9103615368070992,0.0,0.0,0.024316109422492405,41.0
Dino Prizmic,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9219787437209607,0.0,0.0,0.005952380952380931,41.0
Francesco Passaro,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9212490022087582,0.0,0.0,0.0,40.9
Nishesh Basavareddy,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8386241428588674,0.0,0.16666666666666666,0.0,40.9
Marton Fucsovics,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8966630747013106,0.0,0.0,0.021263418662262557,40.6
Zachary Svajda,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8778828722082718,0.0,0.0,0.0,40.1
Federico Agustin Gomez,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8760031506848386,0.0,0.0,0.0,40.0
Brandon Holt,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8754719077688606,0.0,0.0,0.0,40.0
Shintaro Mochizuki,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8544987459993726,0.0,0.0,0.0,39.6
Jacob Fearnley,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8572510858682466,0.0,0.0,0.0,39.6
Eliot Spizzirri,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8494315767180306,0.0,0.0,0.0,39.5
Aleksandar Kovacevic,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8330462528928575,0.0,0.0,0.0,39.2
Leandro Riedi,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.828316464007711,0.0,0.0,0.0,39.1
James Duckworth,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8169487943561589,0.0,0.0,0.0,38.8
Cameron Norrie,64,20,21.674798016918697,14.211745691940937,-0.4442615466464673,0.3907259977882216,0.3024322284785511,0.9552742985251006,0.0,0.16666666666666666,0.03341407647205308,38.7
Jesper De Jong,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.7988527396390444,0.0,0.0,0.0,38.5
Hugo Dellien,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.7938269621940366,0.0,0.0,0.0,38.4
Francisco Comesana,1,0,0.3861297028588899,0.2370335554289953,-0.7931006309855542,0.3115032918655068,0.25734796153325207,0.9278287409118072,0.0,0.5,0.0,37.6
Jerome Kym,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.7506474603196348,0.0,0.0,0.0,37.5
Alejandro Davidovich Fokina,17,5,6.366554005765802,3.975683906760844,-0.6853633483371178,0.33506531198774714,0.2811974916810349,1.0,0.0,0.16666666666666666,0.02375686666191046,37.0
Chun-Hsin Tseng,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.7084391038736697,0.0,0.0,0.0,36.7
Alex Michelsen,8,2,2.9733005674464033,1.8645383897784766,-0.712789529864827,0.32898274931461163,0.2644395425785105,0.9157470247392695,0.0,0.3333333333333333,0.0,36.5
Tristan Schoolkate,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.687887653036872,0.0,0.0,0.0,36.3
Holger Rune,80,18,25.473297943994048,17.203105501152834,-1.8018094925500867,0.1416309392825053,0.23404307192198293,0.8822997431187286,0.3393357085240912,0.6666666666666666,0.0,35.8
Jordan Thompson,7,2,2.47240934984334,1.5879834662913543,-0.3748827838794163,0.4073616978370127,0.2742335997110479,0.8694778696080685,0.0,0.0,0.0,35.7
Marcos Giron,4,1,1.522398447006822,0.9426233316589341,-0.5380625736659141,0.3686383919928363,0.2668461330082622,0.9389281920053386,0.0,0.0,0.0,35.4
Ben Shelton,37,9,12.852048707435838,8.318732172428216,-1.3355593709072502,0.2082412669099662,0.25270714372277703,0.9017257061162974,0.0,0.6666666666666666,0.0,34.1
Nuno Borges,1,0,0.35455011688933524,0.22884433150309397,-0.7411524578882906,0.32275218437470643,0.25734796153325207,0.9769436336550613,0.0,0.0,0.0,34.1
Alexei Popyrin,7,1,2.422761838706265,1.5773125330430267,-1.1328524049136162,0.2436350839032226,0.23719656267401085,0.9804485633786229,0.0,0.3333333333333333,0.0,33.9
David Goffin,1,0,0.37685346682489884,0.23483493136695371,-0.7776625155388203,0.31482388599929,0.25734796153325207,0.9503473262876206,0.0,0.0,0.009759498082955786,33.3
Daniel Altmaier,1,0,0.3901169239160942,0.23792570959033857,-0.7997865650721917,0.31007117652413796,0.25734796153325207,0.9247859693021906,0.0,0.0,0.029274004683840782,32.7
Jenson Brooksby,4,0,1.406883434064175,0.9082841833359944,-1.476206931147695,0.1860010236660627,0.22517946634159555,0.9812726715929666,0.08983346835496181,0.3333333333333333,0.0,32.7
Karen Khachanov,64,17,20.720756629591826,13.879559261314334,-0.9987192629658135,0.26919330405828523,0.26671794276426536,0.7744614587373271,0.0,0.5,0.0,32.6
Mackenzie McDonald,18,5,6.4985762187583775,4.141000525897058,-0.7364210493321669,0.3237872569673845,0.27379755768942876,0.8922027043576515,0.0,0.0,0.0,32.4
Luciano Darderi,10,2,3.7239829915151508,2.3241464004962236,-1.1308401934367285,0.24400607951427644,0.2468102397399431,0.8626637272091457,0.0,0.16666666666666666,0.2160633484162896,32.1
Mariano Navone,1,0,0.39976104708288807,0.239952152318081,-0.8160901744312542,0.3065942370471201,0.25734796153325207,0.8345615181791747,0.0,0.0,0.09661835748792269,31.5
Jan-Lennard Struff,10,2,3.3608415213265537,2.2240792020981828,-0.9124990633137245,0.2864887239281155,0.2468102397399431,0.8902096849888997,0.0,0.0,0.08524072612470407,31.5
Carlos Alcaraz,111,15,26.938180374047427,19.76239947543655,-2.6854575977898056,0.06383694318260585,0.15575807016945262,0.9020814327188834,0.0,1.0,0.044777802842318915,31.4
Sebastian Korda,42,10,13.410842355673832,9.04315808628125,-1.1342311905930704,0.24338109519169415,0.2484565676161015,0.9515998203287843,0.0,0.0,0.0,30.0
Taylor Fritz,86,16,22.6375124985514,16.244864135108774,-1.6468244648373904,0.16153859422849418,0.20192742634149333,0.7949753365117508,0.0,0.5,0.0,28.2
Jaime Faria,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.18487813739154738,0.0,0.0,0.0,26.2
Darwin Blanch,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.17861830917649263,0.0,0.0,0.0,26.1
Alexander Zverev,131,23,36.89421944348783,25.898108417057845,-2.730235639455655,0.06121262024869045,0.18810799465031983,0.7420833153461796,0.0,0.8333333333333334,0.012713602187286344,26.1
Alex De Minaur,83,18,24.47466301364059,16.898900331588003,-1.5750267978933243,0.17150096227257242,0.2272262834194009,0.8226259524485564,0.0,0.16666666666666666,0.005033526223936713,25.9
Tristan Boyer,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.05703058189682464,0.0,0.16666666666666666,0.0,25.3
Jack Draper,25,5,8.626680596926843,5.605389831841283,-1.5318152827002072,0.17772824349687116,0.23120682649329538,0.8597604583033553,0.0,0.0,0.0,25.2
Raphael Collignon,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.06343803058184791,0.0,0.0,0.0,23.8
Stefan Dostanic,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.0,0.0,0.0,0.0,22.5
Jannik Sinner,127,13,29.132631149275685,21.250810316315942,-3.499592337508666,0.029323832207904212,0.12519936865441014,0.5238107292879134,0.0,1.0,0.0,21.8
Novak Djokovic,97,10,22.375633785897545,16.3926813927922,-3.0566270379113583,0.04493222608587151,0.13166074523246404,0.6813665925910225,0.0,0.0,0.0,15.6
