k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
28,14,240,2.2,39613,2022-04-18 00:00:00,0.770947853720497,0.7455444736840429,0.1945837443088975,0.20432836913632027,0.6717152593714502,0.515
24,12,500,2.2,39613,2022-04-18 00:00:00,0.7700553207828328,0.7455417331355889,0.1949417428144309,0.20434404008837467,0.6664142370314274,0.48
24,16,365,2.2,39613,2022-04-18 00:00:00,0.770326670297486,0.7455387376523952,0.1948190348558991,0.20435805208932162,0.6714628297362111,0.54
28,16,240,2.2,39613,2022-04-18 00:00:00,0.7709446592176676,0.745534531229187,0.19458398510527244,0.20433368336305174,0.6719676890066894,0.515
28,18,240,2.2,39613,2022-04-18 00:00:00,0.7709375333254458,0.7455285402627996,0.1945852597574679,0.20433960524313163,0.6734822668181244,0.5
28,20,500,1.8,39613,2022-04-18 00:00:00,0.7704484437893827,0.7455281578606896,0.19478580561118813,0.20434545635638196,0.6714628297362111,0.54
28,20,240,2.2,39613,2022-04-18 00:00:00,0.7709223654117621,0.7455140727163106,0.19458822094221634,0.20434673463070716,0.6734822668181244,0.5
24,18,365,2.2,39613,2022-04-18 00:00:00,0.7702831023773509,0.7455024094519604,0.19483331389846803,0.2043688758483964,0.6713366149185914,0.54
24,14,500,2.2,39613,2022-04-18 00:00:00,0.7700201055714675,0.7454939966055439,0.19495448420825032,0.20437093805026324,0.6724725482771677,0.545
28,24,240,2.2,39613,2022-04-18 00:00:00,0.7708939415062872,0.7454850101559627,0.1945976759595355,0.2043609833469609,0.670831755648113,0.53
32,18,240,2.0,39613,2022-04-18 00:00:00,0.7709624281417601,0.7454744940979421,0.19458422615283927,0.20436253984071556,0.6724725482771677,0.51
28,24,500,1.8,39613,2022-04-18 00:00:00,0.7703994826562415,0.7454667185883753,0.19480159324165183,0.2043673309864816,0.6690647482014388,0.495
24,20,365,2.2,39613,2022-04-18 00:00:00,0.7702430754958884,0.7454661449852106,0.19484647521246445,0.20438168360398454,0.6704531111952543,0.54
32,20,240,2.0,39613,2022-04-18 00:00:00,0.7709715296866044,0.745465188979936,0.1945805101618967,0.20436579198168028,0.6722201186419285,0.51
32,12,240,2.0,39613,2022-04-18 00:00:00,0.7709078069231816,0.7454619385620023,0.19460310343204307,0.2043593262171054,0.6723463334595482,0.51
24,16,500,2.2,39613,2022-04-18 00:00:00,0.7699744305540795,0.7454591980135485,0.19497003659876558,0.20439228497461934,0.6713366149185914,0.54
32,14,240,2.0,39613,2022-04-18 00:00:00,0.7709292244315529,0.7454577958724791,0.19459557166196007,0.20435835235743793,0.6724725482771677,0.51
