match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,surface,tourney_level,best_of,round
35,2021-01-05,Jan Lennard Struff,Pavel Kotov,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R32
36,2021-01-05,Alex Molcan,Hugo Grenier,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R32
37,2021-01-05,Jeremy Chardy,Radu Albot,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.1168831168831168,0.0,0.0,Hard,A,3,R32
38,2021-01-05,Fabio Fognini,Michael Vrbensky,1,0.0,0.0,0.0,0.0,2.0,0.0,12.0,12.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R32
33,2021-01-05,Altug Celikbilek,Kacper Zuk,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R32
39,2021-01-05,Alexander Bublik,Salvatore Caruso,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.1454545454545454,0.0,0.0,Hard,A,3,R32
130,2021-02-01,Emil Ruusuvuori,Viktor Troicki,1,-11.0,2.0,0.1666666666666666,0.1666666666666666,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R64
131,2021-02-01,Federico Coria,Radu Albot,1,1.5,-1.0,0.0,0.0,3.0,0.0,23.585699413622933,35.171398827245866,0.0,0.0,0.0833333333333333,12.0,9.0,Hard,A,3,R64
132,2021-02-01,Elias Ymer,Gilles Simon,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
133,2021-02-01,Jeremy Chardy,Marin Cilic,1,-18.6,4.0,0.3,0.3,2.0,0.0,47.17238532655597,46.34477065311194,0.0,0.0,0.1770334928229665,24.0,18.0,Hard,A,3,R64
136,2021-02-01,Juan Ignacio Londero,Mikhail Kukushkin,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
135,2021-02-01,Alex Bolt,Thanasi Kokkinakis,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R64
137,2021-02-01,Andrew Harris,Grigor Dimitrov,0,-15.0,1.0,0.0,0.0,-2.0,0.0,-0.4143005863770668,-0.4143005863770668,0.0,0.0,-0.0384615384615384,12.0,9.0,Hard,A,3,R32
138,2021-02-01,Alexei Popyrin,Tommy Paul,1,0.5,-2.0,0.0,0.0,3.0,0.0,11.2142457419327,23.24235555985388,0.0,0.0,0.0384615384615384,-0.8138640759884765,-0.4599908757825233,Hard,A,3,R32
129,2021-02-01,Harry Bourchier,Marc Polmans,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R64
134,2021-02-01,Mackenzie Mcdonald,Richard Gasquet,1,-1.0,1.0,0.0,0.0,2.0,0.0,12.828601172754134,12.828601172754134,0.0,0.0,0.006993006993007,-12.0,-9.0,Hard,A,3,R64
128,2021-02-01,Alexandre Muller,Nick Kyrgios,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0839160839160839,0.0,0.0,Hard,A,3,R64
121,2021-02-01,Marco Cecchinato,Marton Fucsovics,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
126,2021-02-01,Marcos Giron,Michael Mmoh,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R64
125,2021-02-01,Li Tu,Pedro Sousa,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
124,2021-02-01,Frederico Ferreira Silva,Jiri Vesely,0,1.5,-1.0,0.0,0.0,-2.0,0.0,-12.828601172754134,-12.828601172754134,0.0,0.0,-0.0787878787878788,12.0,9.0,Hard,A,3,R64
123,2021-02-01,Ricardas Berankis,Sumit Nagal,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R64
122,2021-02-01,Jason Kubler,Lorenzo Sonego,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R64
139,2021-02-01,Albert Ramos,Corentin Moutet,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.399514565861637,-24.3852221870884,0.0,0.0,-0.0999999999999999,-0.4138069446348709,-0.2329283081501216,Hard,A,3,R32
120,2021-02-01,Egor Gerasimov,Lloyd Harris,1,-1.5,1.0,0.0,0.0,2.0,0.0,12.828601172754134,12.828601172754134,0.0,0.0,0.0454545454545454,-12.0,-9.0,Hard,A,3,R64
119,2021-02-01,Quentin Halys,Yuichi Sugita,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
118,2021-02-01,James Duckworth,Tomas Machac,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R64
117,2021-02-01,Corentin Moutet,Frances Tiafoe,1,15.5,-3.0,0.0,0.0,3.0,0.0,-11.58619305536513,12.841923317800592,0.0,0.0,0.0999999999999999,-11.98569057146915,-8.993962158036311,Hard,A,3,R64
116,2021-02-01,Albert Ramos,Blake Mott,1,0.0,0.0,0.0,0.0,2.0,0.0,12.0,12.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R64
115,2021-02-01,Cameron Norrie,Tommy Paul,0,-7.733333333333332,2.0,-0.0666666666666666,-0.0666666666666666,-3.0,0.0,22.786144766165307,-2.0277198786113786,0.0,0.0,0.0333333333333333,23.60000827336557,17.772953131703844,Hard,A,3,R64
127,2021-02-01,Adrian Mannarino,Mikael Ymer,1,-1.0,1.0,0.0,0.0,2.0,0.0,13.214315838278708,13.214315838278708,0.0,0.0,0.006993006993007,-11.585699413622931,-8.766915391928478,Hard,A,3,R64
140,2021-02-01,James Duckworth,Ugo Humbert,1,-15.0,1.0,0.0,0.0,3.0,0.0,35.171398827245866,35.171398827245866,0.0,0.0,0.0839160839160839,12.0,9.0,Hard,A,3,R32
148,2021-02-01,Borna Coric,Emil Ruusuvuori,1,15.75,-3.0,0.0,0.0,2.0,0.0,0.4143005863770668,12.828601172754134,0.0,0.0,0.0384615384615384,-12.0,-9.0,Hard,A,3,R32
142,2021-02-01,Egor Gerasimov,Marton Fucsovics,1,4.0,1.0,0.1666666666666666,0.1666666666666666,3.0,0.0,0.8143082123278873,13.214315838278708,0.0,0.0,0.0,-11.585699413622931,-8.766915391928478,Hard,A,3,R32
114,2021-02-01,Alexei Popyrin,Borna Gojo,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R64
167,2021-02-01,Daniel Evans,Felix Auger Aliassime,1,0.0,0.0,0.1999999999999999,0.1999999999999999,6.0,0.0,13.004085023448624,24.96816461569665,0.0,0.0,0.0666666666666666,1.0400054312005975,0.6123165943374715,Hard,A,3,F
166,2021-02-01,Daniel Evans,Jeremy Chardy,1,1.166666666666667,-5.0,0.2222222222222222,0.1999999999999999,5.0,0.0,-18.208509370898582,-5.130834147935502,0.0,0.0,0.0350877192982456,-31.286184593861663,-24.311898887292955,Hard,A,3,SF
165,2021-02-01,Corentin Moutet,Felix Auger Aliassime,0,-1.5,1.0,-0.1999999999999999,-0.1999999999999999,-5.0,0.0,-0.8666944273970785,-13.264830115728046,0.0,0.0,0.0,11.531441260933889,8.743705987023077,Hard,A,3,SF
164,2021-02-01,Jeremy Chardy,Stan Wawrinka,1,-2.875,5.0,0.2083333333333333,0.1333333333333334,5.0,0.0,43.28712098865003,54.17119292368898,0.0,0.0,0.0931174089068825,32.403049053611085,24.95759321090464,Hard,A,3,QF
163,2021-02-01,Borna Coric,Daniel Evans,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-4.0,0.0,-11.987135448731578,-23.98759567007301,0.0,0.0,-0.1282051282051282,0.0133247726098488,0.0057257236867371,Hard,A,3,QF
162,2021-02-01,Felix Auger Aliassime,Jiri Vesely,1,-1.4000000000000004,-2.0,0.4,0.4,4.0,0.0,11.64048530038508,23.653346710654432,0.0,0.0,0.0666666666666666,-0.3723761098842715,-0.2152876346967787,Hard,A,3,QF
161,2021-02-01,Corentin Moutet,Grigor Dimitrov,1,-2.5,1.0,0.3333333333333333,0.3333333333333333,5.0,0.0,23.157141015794195,34.75815360352135,0.0,0.0,0.0615384615384615,11.55612842806704,8.754535398976714,Hard,A,3,QF
160,2021-02-01,Alex Bolt,Stan Wawrinka,0,-5.0,1.0,0.1666666666666666,0.1666666666666666,-3.0,0.0,-1.2005148922219178,-13.586721572115948,0.0,0.0,0.0,11.185691787672113,8.539864680946039,Hard,A,3,R16
159,2021-02-01,Jeremy Chardy,Taylor Fritz,1,-6.857142857142858,5.0,0.3571428571428571,0.3,4.0,0.0,44.80354869393136,55.63388090745161,0.0,0.0,0.131578947368421,33.97321648041111,25.85327186424638,Hard,A,3,R16
158,2021-02-01,Borna Coric,Nick Kyrgios,1,5.0,-1.0,-0.1666666666666666,-0.1666666666666666,3.0,0.0,0.8143082123278873,13.214315838278708,0.0,0.0,0.0,-11.585699413622931,-8.766915391928478,Hard,A,3,R16
157,2021-02-01,Daniel Evans,Marcos Giron,1,5.0,-1.0,-0.1666666666666666,-0.1666666666666666,3.0,0.0,1.1871901196120689,13.57387297295304,0.0,0.0,0.1282051282051282,-11.199492733728905,-8.545742574042606,Hard,A,3,R16
156,2021-02-01,Jiri Vesely,Ricardas Berankis,1,4.25,1.0,0.0833333333333333,0.0833333333333333,4.0,0.0,0.8004924641059006,13.200993770365583,0.0,0.0,-0.0051282051282051,-11.600008842153784,-8.772953233892167,Hard,A,3,R16
