player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Corentin Moutet,156,65,91,12.551282051282051,0.4,0.4167,1592.4860357039054,1535.036087961538,2024-11-04,44,65,16,75,0,0.4,0.4375,0.4267,,1504.259140891266,1500.9482010436,1483.995960315835
Fabio Fognini,677,368,309,6.960118168389956,0.3,0.5436,1783.5180822657308,1532.757227389758,2024-11-04,44,331,37,309,0,0.6012,0.5676,0.479,,1521.8258330138133,1513.75990762374,1468.951274272969
Borna Gojo,42,20,22,23.761904761904763,0.4,0.4762,1591.2779310420335,1532.7391287543908,2024-09-13,96,3,2,37,0,0.3333,0.0,0.5135,,1500.0723938286726,1492.8406148986796,1516.556345034224
Andy Murray,654,481,173,6.18960244648318,0.4,0.7355,2123.2583538745043,1532.5093810831963,2024-06-17,184,116,99,439,0,0.7241,0.8081,0.7221,,1487.4418260900643,1501.6291904254767,1531.8891019555072
Hugo Gaston,96,40,56,14.760416666666666,0.4,0.4167,1604.7602209395955,1531.8286439769358,2024-11-04,44,40,6,50,0,0.5,0.5,0.34,,1497.8366260931043,1500.123023357249,1487.737203214529
Adrian Mannarino,632,299,333,7.343354430379747,0.4,0.4731,1725.429869166629,1530.6811839717839,2024-11-04,44,73,120,439,0,0.2192,0.5833,0.4852,,1465.6977805376978,1500.914920801096,1532.5648628326849
Borna Coric,419,223,196,8.210023866348449,0.4,0.5322,1788.3109746804178,1529.8552136645028,2024-10-14,65,124,26,269,0,0.5484,0.4615,0.5316,,1501.3831607459588,1499.6708550961184,1531.2505456239762
Christopher Oconnell,117,47,70,12.017094017094017,0.4,0.4017,1592.3481615781486,1528.7827179429762,2024-11-04,44,25,10,82,0,0.36,0.4,0.4146,,1477.472094419266,1501.5265648184018,1513.4805081865366
Thiago Agustin Tirante,17,8,9,23.941176470588236,0.5,0.4706,1539.7786813845728,1528.4732804164923,2024-10-14,65,14,0,3,0,0.5,,0.3333,,1509.5941571917597,,1500.5252695168413
Yibing Wu,48,21,27,17.9375,0.4,0.4375,1594.3056129530087,1527.5839487396422,2024-10-02,77,9,5,34,0,0.3333,0.2,0.5,,1495.4707811598541,1486.3047798662874,1517.0107109912776
Billy Harris,15,8,7,13.133333333333333,0.5,0.5333,1557.7527337683716,1527.4125791920824,2024-10-02,77,0,10,5,0,,0.6,0.4,,,1518.844826310851,1500.536341928746
Mohamed Safwat,40,16,24,37.35,0.7,0.4,1528.738141951055,1526.8173488336101,2024-09-13,96,16,2,20,2,0.5,0.5,0.3,0.5,1516.4434080449669,1507.0,1502.9446822976042
Pavel Kotov,80,36,44,13.3625,0.3,0.45,1609.3069892211292,1525.314653409749,2024-11-04,44,32,4,44,0,0.5312,0.5,0.3864,,1520.9765416474752,1502.334369683107,1479.749371935052
Zsombor Piros,17,10,7,40.64705882352941,0.6,0.5882,1537.734941880226,1525.2892397310836,2024-09-13,96,7,0,10,0,0.5714,,0.6,,1507.0127704692752,,1501.3207561886957
Sebastian Ofner,93,41,52,13.21505376344086,0.5,0.4409,1595.7967438972044,1523.26292450603,2024-08-26,114,43,15,35,0,0.4186,0.4667,0.4571,,1469.3097201941846,1505.2795693157773,1516.95489042618
Gijs Brouwer,27,13,14,18.962962962962962,0.4,0.4815,1581.4222050244416,1522.6971478382818,2024-06-24,177,9,8,10,0,0.5556,0.375,0.5,,1503.398364841664,1501.7262996198574,1509.2196264912232
