player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Dusan Lajovic,461,204,257,9.23644251626898,1,0.4,0.2,-1,2024-11-04,0.4425,1644.787404519711,1549.5405198264577,1532.2856653918593,1496.5262677432943,1478.5496752329582,0.5044,0.25,0.3971,,228.0,24.0,209.0,0.0,44
Fabian Marozsan,72,34,38,9.666666666666666,4,0.4,0.4,0,2024-11-04,0.4722,1633.849476352703,1548.9783014930538,1499.7397800400854,1486.0099096483204,1533.9426222304164,0.4737,0.1667,0.5106,,19.0,6.0,47.0,0.0,44
Laslo Djere,293,143,150,9.208191126279864,5,0.6,0.8,-1,2024-11-04,0.4881,1654.226522558185,1548.070698095455,1510.967048496971,1494.0069950676632,1525.5225243208706,0.5823,0.3333,0.386,,158.0,21.0,114.0,0.0,44
Thiago Seyboth Wild,79,33,46,13.987341772151899,4,0.4,0.4,-1,2024-10-21,0.4177,1559.9302658031067,1544.66648850945,1500.2027045426169,1500.0487265075417,1502.2744579758305,0.449,0.5,0.3462,,49.0,4.0,26.0,0.0,58
Nicolas Jarry,228,116,112,10.850877192982455,5,0.3,0.4,-1,2024-10-28,0.5088,1691.2958402909167,1544.193446309175,1540.1120390967642,1502.450281736068,1502.7790380981432,0.5966,0.4444,0.4066,,119.0,18.0,91.0,0.0,51
Alex Molcan,95,50,45,10.821052631578947,1,0.5,0.6,-1,2024-02-26,0.5263,1644.4388351050868,1542.5708475989147,1521.8968665041282,1500.0404157876337,1497.4376061636688,0.6327,0.4286,0.4103,,49.0,7.0,39.0,0.0,296
Stan Wawrinka,636,404,232,6.8569182389937104,6,0.5,0.6,-1,2024-11-04,0.6352,1887.2305981172192,1542.259517617284,1493.3612084815409,1507.6212337826676,1513.0521122478385,0.6458,0.5294,0.6438,,192.0,51.0,393.0,0.0,44
Cristian Garin,251,130,121,11.258964143426295,1,0.4,0.2,0,2024-09-15,0.5179,1668.055982223032,1541.3608140949154,1528.0494370889658,1500.3794372937102,1485.3121423379814,0.6084,0.4737,0.382,,143.0,19.0,89.0,0.0,94
Alexander Bublik,302,152,150,8.099337748344372,3,0.2,0.2,-1,2024-10-28,0.5033,1697.3318090154867,1540.3592379531372,1493.4172085935638,1524.5432966830583,1510.1780993628838,0.3962,0.6346,0.4975,,53.0,52.0,197.0,0.0,51
Zizou Bergs,60,23,37,16.816666666666666,7,0.6,0.6,-1,2024-11-04,0.3833,1552.7271394574343,1540.3379906621185,1489.5683796618848,1499.9467742549903,1508.271344678884,0.375,0.25,0.4,,16.0,4.0,40.0,0.0,44
